date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:49:39	18292/18292	---M--	200	added ('OK')	application/font-sfnt	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/vendor/nucleo/fonts/nucleo-icons.ttf	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/vendor/nucleo/fonts/nucleo-icons.ttf	(from https://vhtear.com/static/assets/vendor/nucleo/css/nucleo.css)
16:49:41	1290514/1290514	---M--	200	added ('OK')	application/javascript	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/js/build/threejs.js	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/js/build/threejs.js	(from https://vhtear.com/)
16:49:41	126098/126098	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/vendor/nucleo/fonts/nucleo-icons.svg	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/vendor/nucleo/fonts/nucleo-icons.svg	(from https://vhtear.com/static/assets/vendor/nucleo/css/nucleo.css)
16:49:43	131930/131930	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.eot	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.eot	(from https://vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css)
16:49:44	131930/131930	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.eot?	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400d41d.eot	(from https://vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css)
16:49:44	75936/75936	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.woff2	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.woff2	(from https://vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css)
16:49:45	89100/89100	---M--	200	added ('OK')	application/font-woff	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.woff	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.woff	(from https://vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css)
16:49:46	131624/131624	---M--	200	added ('OK')	application/font-sfnt	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.ttf	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.ttf	(from https://vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css)
16:49:48	34390/34390	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.eot	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.eot	(from https://vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css)
16:49:49	34390/34390	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.eot?	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400d41d.eot	(from https://vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css)
16:49:49	13576/13576	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.woff2	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.woff2	(from https://vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css)
16:49:50	16800/16800	---M--	200	added ('OK')	application/font-woff	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.woff	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.woff	(from https://vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css)
16:49:51	34092/34092	---M--	200	added ('OK')	application/font-sfnt	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.ttf	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/webfonts/fa-regular-400.ttf	(from https://vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css)
16:49:52	708706/708706	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2004%20Aug%202022%2018:29:23%20GMT	https://vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.svg	/storage/emulated/0/HTTrack/Websites/Restapi/vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/webfonts/fa-brands-400.svg	(from https://vhtear.com/static/assets/vendor/@fortawesome/fontawesome-free/css/all.min.css)
